name,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9,member_10,member_11,member_12,member_13,member_14,member_15,member_16,member_17,member_18,member_19,member_20
rdsw,1772.6239494652216,2907.9707817817375,2974.8789224817265,2895.331615042009,2913.647866975039,2598.542256987311,2846.9060526530297,876.7782587765938,2759.8991131178177,2731.1703010326282,2585.682141667386,2920.9112191115387,2874.033421514035,2138.6337118615365,1261.2714566216662,2782.102034183586,1774.5916349241977,2228.2880817366927,2090.87447731345,2050.8697067305116
toxp,5.306817881514337e-09,5.51911293169101e-09,6.522271283947418e-09,6.692708742513003e-09,5.52406556701388e-09,5.489853401175249e-09,5.366169408722821e-09,5.339116369127149e-09,6.540769824666493e-09,5.7169908014478535e-09,6.1652283663339485e-09,4.931053884262558e-09,5.630534526002053e-09,5.568948019668633e-09,5.795860136867744e-09,5.851372970174137e-09,5.194984923936497e-09,4.6812779407559795e-09,5.017313274783203e-09,6.421648512952596e-09
u0,525.6170034267113,567.1114552797575,638.7620740587367,589.8103624679387,478.0766052555927,666.3767033036407,627.0937759240527,496.52079186217173,608.2473758120517,589.5151729689667,660.4042256951741,528.3646003802728,655.3974179267502,509.1976549538906,631.4384102418917,633.953802346058,528.2874553821613,626.3703128517103,477.25055878130877,668.1502995392651
ua,2.07707297588778e-10,1.4782791919742052e-10,3.6128337926631704e-10,2.04617609465375e-10,2.8463693330007814e-10,1.9539848266510582e-10,2.1664156651408425e-10,1.6118545349992397e-10,3.0549601506842734e-10,2.544288310010582e-10,2.203009791042381e-10,2.012985757235932e-10,1.685454720706085e-10,1.9708485857879035e-10,3.134283527112907e-10,2.161710243029063e-10,1.6720193682525626e-10,3.890160190763813e-10,1.5590550973446265e-10,3.914505993008321e-10
ub,1.8623670351517515e-19,5.25416354456693e-20,5.689800779789186e-21,1.2912220665892065e-19,7.496390770740913e-20,6.360004904501943e-21,3.538910308085335e-20,5.868432429127816e-20,1.329369177171991e-20,1.7517382124827917e-19,1.4673038108009673e-20,4.071569684784015e-19,6.364143703594134e-21,7.346754002090643e-20,5.733787478347434e-20,3.608950168346909e-20,7.526360148091228e-19,1.4497844386181045e-19,4.31053276361631e-20,6.273093770907208e-20
uc,-1.577229759759791e-09,-1.7622100879386598e-09,-2.840730543334408e-10,-2.0247911857800716e-09,-5.069442032965708e-10,-9.240053924572516e-10,-1.745533796076353e-10,-1.0123609475831432e-09,-1.3520091078716797e-09,-2.3031931764009155e-09,9.770615442195709e-11,-1.3630952648711756e-09,-6.243519668689209e-10,-8.325649355962835e-10,-2.144093533011641e-09,-9.97064224581157e-10,-2.0949201448283925e-09,-7.273131763889858e-10,-3.7614148372550927e-10,-2.2406122061508096e-09
voff,-0.054203008889595894,-0.049987040313431236,-0.015268100075381402,-0.04728314759455654,-0.05603276266822724,-0.05062825707576196,-0.013288351508728535,-0.05175620990175808,-0.02234914898831941,-0.058339590457010246,-0.019041617959333984,-0.0327397325770602,-0.020102774309750687,-0.00866606920987753,-0.03083898472034513,-0.024906187934599838,-0.061457452877150875,-0.04092463826092643,-0.047303688574599045,-0.0305247726177518
voffcv,0.1871231334099801,-0.06495365424014554,-0.2263228918287572,-0.0739315657141209,0.2425679536473464,-0.12325824536339519,0.08218132119759503,0.37514347236731416,0.10729789385375499,-0.11038393873559954,0.31627840598142953,0.08386772440795554,-0.07496956315336767,0.1748670445678463,0.09935333804861479,-0.07911631382794854,0.3020846310932359,0.2212398919623878,0.14417710474907486,0.014751255924727147
voffl,-6.489767276093266e-08,-6.753382728146487e-08,-9.519022162106134e-08,-6.68314074274634e-08,-6.39843314245622e-08,-9.326471951015155e-08,-9.099466167591583e-08,-7.081405403688292e-08,-7.57768129135799e-08,-6.967120825977468e-08,-9.533123577906933e-08,-6.616320467295778e-08,-9.196911913195568e-08,-6.275905890161477e-08,-7.864649804754328e-08,-8.533923463791651e-08,-6.551439279351772e-08,-9.810345546818974e-08,-6.110565395845664e-08,-8.326209965949327e-08
vsat,121572.86094527329,404908.8856145568,100883.75322205883,260422.26459707707,93286.32167368277,45468.556831550086,29951.253765292284,38214.18309947239,108171.72909545533,309412.38041387126,27471.59799873103,140612.33623082683,60594.724554415865,135854.07119293383,41842.67428395914,215166.9743747907,182780.51529692858,26689.09265497319,84765.67772119111,133890.9201553674
vth0,0.3802435011271137,0.4748918759315761,0.4433309457999566,0.4576291819830445,0.29051508971691664,0.5985641776862205,0.5134194813547284,0.43023839408841047,0.47242528776775394,0.45760383344230826,0.5531593389981655,0.39949894287221577,0.6456305212775657,0.39212761080758307,0.5425509661149301,0.5481313105707515,0.4565500237891009,0.5807241556783991,0.33262942927048167,0.543742741934087
w0,1.107244951596358e-08,2.394663715603223e-08,1.652461524085164e-09,2.0079146073056996e-08,1.0447577767747757e-09,1.5114031516265167e-08,2.406584991446699e-11,8.579325679387848e-09,4.906234575025373e-10,4.517531187008455e-07,5.557027109894527e-11,1.2868806922523156e-09,1.5212079873773553e-10,2.67577266857466e-11,9.322514196060186e-09,6.796537202989142e-10,9.441739179436739e-09,5.86427201027187e-11,1.4716663145794734e-10,2.082006524607112e-08
wint,1.0123318195235756e-07,1.0793387137448481e-07,4.2729074014932465e-08,1.1341559491791984e-07,6.982311493817641e-08,2.6601559962933502e-08,1.52835914965932e-08,6.124602120232463e-08,4.6761098639244875e-08,1.1440375062022637e-07,1.9598641347005877e-08,1.2937782012299354e-07,1.142040613093967e-08,6.937572297381747e-08,9.836181586222597e-08,6.889466213204574e-08,1.1865706275618005e-07,9.154400525339539e-08,4.914294464820979e-08,1.1122592886758162e-07
ww,-7.288576693930786e-14,-7.595333922112509e-14,-2.86983512700199e-14,-6.18529097211436e-14,-6.306138076489557e-14,-4.649153563686785e-14,-4.433969061859212e-14,-6.364890376718971e-14,-9.217108573236804e-14,-7.220868870766724e-14,-4.0651813103320916e-14,-7.12317785402812e-14,-4.675810743614138e-14,-7.085713184014448e-14,-7.300222275725384e-14,-5.700024247048815e-14,-7.646186318660001e-14,-5.220250802425414e-14,-6.651661011697136e-14,-6.69555194859421e-14
wwl,7.230456597840961e-20,4.974985882511516e-20,-2.483094726234564e-21,1.096405487035387e-20,9.715167576489713e-20,1.8303629370521916e-20,-6.086229919427351e-21,4.028620409380382e-20,1.084611137106386e-22,3.355071737654489e-20,-3.1491864772660265e-21,3.7255511813162753e-20,-1.9448355898223492e-20,3.575363025241044e-20,-2.2580224238338988e-20,-8.798737731113082e-21,5.162699902991755e-20,-1.685525117132212e-20,9.639200180227465e-20,-3.76201353851441e-20
