w1,w2,w3,w4,w5,w6,w7,w8,w9,power
2.391951526454273,4.099270045745616,1.6157394838738666,0.2831067330946906,1.7231364364258273,7.722752324984108,6.753350265972696,7.65616415237184,1.4589994914193092,0.13015685357195836
5.460814897896727,3.077954049935805,6.4277747559424725,3.652729016207617,7.143138373108118,3.2851964428113387,0.6402721077014507,3.3947256930287826,5.820779706631258,0.4981754854674655
6.930733877472582,6.867504527671635,6.768198299444306,8.056883358093048,2.0675101624559,1.847568944426052,0.9339321096301582,0.6295150371430974,1.024280541454884,0.45775140524301716
0.6238991746770787,1.215918274644392,8.84388531130089,0.1156932160439167,7.898134824433846,7.126437633514921,4.542553761979823,2.934725534708092,8.518367318294814,0.282734894613974
4.581675025171898,2.910526422383553,2.7182828179243703,6.234832961645795,0.2073469113832329,6.957626832852704,5.229593839134394,2.5958733159017027,1.894353033580375,0.36153432087236104
6.767419931922161,0.4022134808781564,5.9309280284286,1.9900840592744136,2.75565511123308,6.807099940706262,6.781060819751648,9.84990332552821,7.0020281801730135,0.37132061256812887
3.360516336332546,8.286079399329754,6.748451345020009,8.482244191750368,5.703107630000867,9.30975940590695,3.182879696398677,6.725212929285186,6.0178017215306845,0.5623160686981172
1.863651523745077,0.6777793631401581,8.37152101489446,4.958751703962469,3.696874288892014,6.572236170860082,8.14251054991908,8.631561408242696,7.678063635323143,0.4790971469472031
8.574889947583879,8.620774630135365,4.1866073819055,8.647752130420912,0.3147445235865693,2.7109697020384957,8.692440053366546,7.544691020789976,6.322392756927519,0.38391894954136885
2.5888226698421284,1.3629782371481334,5.764379421178027,3.9244765920763314,1.8143055274441504,2.342764544662754,4.202821676739465,4.806220298947321,6.000043136019398,0.199360722156037
1.3785189158082802,4.48027655260219,9.009821757392404,0.6935678389877435,0.9619646556072232,3.4263291074687787,2.042094216831832,5.461987913315049,7.964544879482083,0.28817576001628575
6.617293037266872,0.7876363391252276,6.662894900338338,9.435819988253147,0.7022791011047025,4.209109968702723,9.84449376128799,7.485184542034057,0.2121342788965329,0.31064419131891435
1.5217593805082243,2.327254454933263,3.707264107877296,0.8231090600490522,4.858584824845394,7.447020998430313,1.2057723749141465,3.8721646500006464,9.212206413751908,0.20620763191501254
0.7120110666894065,8.497390210578441,4.107207371662576,9.231909393528852,4.458017150007534,9.084602176830568,1.3431734452406363,8.265228023296615,5.1217499166361335,0.48664703079068866
1.620171989959684,5.511968352038723,1.5025306776653138,7.39143137938452,6.038014552716474,7.311190059498506,8.805032418175722,1.3298615075169862,0.6439918051184406,0.5669641639028635
3.278528629762304,7.522332075247399,4.564808928810716,2.5002962903868293,2.431310272195265,8.159358881651496,5.671614667244937,7.297671206097704,2.635805847022634,0.7388840680618376
6.917395328538857,6.794469714264126,9.581873723065549,2.892321325965877,4.027461928854795,0.105085893187178,2.114253403443123,3.3383161322294064,5.28801475614864,0.5822874212997162
7.767924259306068,2.241305446809665,8.004424798191895,6.717008684508572,4.782575825538984,4.725925210688225,0.7672677073970814,4.716424495540194,4.753555482176604,0.6156096435899079
1.4518018093319105,6.928492749279418,2.9255201688499786,2.5594861810787246,9.609491863012448,4.861091178007902,2.775559052769477,3.6292200535927335,6.8912915087796085,0.3877657722120632
8.235956041297756,7.276949537526608,7.653393292799319,4.122263644048818,8.33801300266814,3.5021691202639613,1.7979895064862934,2.5683447994190285,7.178324304462293,0.6740755306607956
3.4828676604132585,9.937668966751833,0.1144768286626313,7.1261656375721145,4.667925361384004,1.0182829950745336,1.048217140845269,6.1545499032396025,8.766590387334706,0.3184398658392585
9.352971699766572,0.7184690458479185,5.3717954804058285,5.39718972070582,5.043669153285009,2.013619550283644,6.035391323222611,1.10998746946743,8.18149998416146,0.4918352792477886
5.721402105296164,6.168073551143336,4.49371769124807,1.0254079252014836,2.1683280694548075,8.212763212541526,2.628348631116841,2.3644538261609798,0.8276899931673726,0.5657463580406658
9.68160307637688,7.364311322675816,9.870996708137822,5.593938870864217,7.070320543282119,2.640126652822006,9.975194543659276,1.0917922943021414,7.669590444063863,0.4680276911734393
2.343298163341617,4.576370778637507,2.6492330573159,4.76073350405972,2.2662074923287903,5.531379251267772,5.444410765664537,4.871854324611253,9.287658895432786,0.5177615891163149
9.419287478955711,1.1069074401068963,0.3147084926849915,5.587326795714082,1.524101960589578,6.201451052664374,4.503141534966876,7.709623128034349,2.269150633862271,0.4501052193901918
6.429038782483774,1.0424828467151044,8.564363453692263,8.10211540174064,9.346700500574114,8.609292657155548,1.3603847319227356,8.234033522108403,9.578836112320085,0.5065950704287087
6.264628736157694,3.436149758626217,5.706051716572272,2.298658202450235,9.057510885083849,5.7081063001347925,6.506368298826785,4.0656578363421545,3.862397061024456,0.6851368236954712
4.4372677783451415,0.2803757183018325,2.766447310516502,9.877470697046524,7.705139634267463,3.1323587507248,8.39004500798652,9.573732342439714,5.184301457637718,0.5027505107844523
9.080143527990082,6.072421068128724,5.46105211569348,6.951211541432799,7.802746922697718,9.200875095583156,2.392142508101025,9.981909687606844,3.1141083990937624,0.3680572951686064
2.19673762841241,9.418842094224942,0.7526343432826066,1.5323800668017669,4.578255661802235,9.147526412576298,7.541509328907997,4.453695479007052,8.144418533797166,0.3666347254668396
8.105248018874947,5.844447192307786,4.727243234048383,4.871050421831827,8.131594200064043,5.891901351230847,4.804366822648916,2.136240477668302,0.4270899842267013,0.33446065261438
3.1721702854126184,2.0313027265083363,7.8273736584243485,7.665338533810726,9.315269213433492,4.401010305947775,6.183522396987091,1.7854376286013256,9.118603818173597,0.6082035747192286
6.7114310119602285,0.1563981410971882,7.732929806592386,2.0293686556612336,4.111202292850586,7.965420573338435,1.9089161588161552,7.946284933665828,9.810732155442668,0.35790555750023817
6.3621743082005375,9.582808317946183,4.790085274007617,8.962284876678266,5.904024576912618,0.9044163655193306,2.2819910348939256,7.860616715601163,6.791112181829163,0.5242384850417666
5.990404904237266,4.027556166465444,2.3924858010771404,8.314792003187701,2.186936424560596,9.465925275971642,2.4300383495087545,6.305933318697906,5.536844988802801,0.6579694855035539
2.956657882867089,6.345965900960283,7.3689238369540275,0.873796098103736,7.237278009259037,3.7699113163217466,0.5019617395919521,4.5304849785120345,7.109088904748256,0.3880054709687994
9.219023329896832,1.3342835157274942,6.323215173083153,9.082326631547655,3.453941288574362,6.9105105900429695,4.421384331042864,8.127261003353755,5.492876793933855,0.5487617879844733
3.7177323879898334,3.8071828360779634,4.900829146824539,8.91720467045201,4.751448659111813,6.409680996354403,9.624254201932285,5.4144910283476015,1.103301006016267,0.7135579439426581
2.4559229121367343,8.385731508233654,8.78225428723126,9.96660905155304,9.848585450102645,3.8641290105154944,6.337427078224255,1.5323350583084423,6.6807943883366425,0.6395421609209593
9.310810431656096,5.399557565032497,5.015595567632236,1.2265956753753595,0.3606795285615953,0.3930255948525926,3.6389194604715143,0.3230164664278236,0.4664417505373913,0.38527209590328976
3.5264341395653074,8.745527046208831,1.413538181761275,1.6780790247674142,5.28423772252473,1.5188586670418724,4.293142025088128,5.848482430169785,7.546660947875598,0.4043192521254063
9.92540289031315,1.758209264410642,7.461495403804181,6.379231065226355,8.83656036596983,9.984594340136592,0.7556201530298413,8.345660840514574,4.229219275630995,0.5414857642827031
2.818053430996793,7.716527207459101,6.223259699014939,5.025014453582317,6.258198725766761,8.335452788859605,2.946381191006396,1.9073457109654888,2.8630117914076507,0.7865711673229238
5.864267014814335,5.09177339882452,5.264910855233306,3.300100968633798,3.58846872449524,1.9443136380386767,7.944183346485471,5.938309799193178,6.443919673683018,0.7032686096442131
5.280214906797297,1.614272262722567,9.13617227163954,4.659019415460119,6.210194914258119,9.572433079858172,1.48579291137037,8.848450689787164,1.2278490338895358,0.4900566187894967
2.607323299271895,4.796134421783666,2.24045756637592,9.580928401847483,6.944210196946208,3.939047467241457,8.437029281992602,6.039975451875908,0.7196147410496113,0.6241421369624713
3.0593067497287327,1.5169167099773904,2.469863845296685,0.5339384094446535,7.932176570369412,6.055051859654494,9.442808578598106,2.193242446072143,5.5916909413393325,0.09104540623378077
4.207152384970812,2.611332635432045,8.308039817273325,7.9600573591279025,2.0061494190202964,6.453229852015615,1.7054076095614568,7.810470526096759,4.851264863301195,0.7063279112548968
1.7227368790738185,1.4670938030046046,0.6651813139850058,9.257560756467807,5.956393177945698,1.819459570122268,7.659327680618994,5.01378667347604,7.873841033263142,0.1304415053257708
2.0875440951313364,9.204377833449875,3.030816743707822,6.4992467542515575,0.4749208992400447,4.641594659148104,7.292493738475999,2.047637920442256,2.395940257290276,0.43346559095605713
8.471703649479089,2.839451267451867,1.975264346033556,5.150125875064748,8.438748626881628,7.361323097765215,9.022199722895593,1.6032855899755785,8.896359249733106,0.6175934522374207
4.839685307386957,1.7754238094258965,5.202741824819605,2.370598588194269,0.8942469640570198,9.7633301429882,3.5371525367849044,9.190108055946457,8.751157172247717,0.3666730419265505
3.8939600421318254,7.657628342597979,7.849014171156066,7.256861572090168,3.978584579827991,1.3911203913246288,0.536057213276736,8.556084172676814,4.089680927874511,0.559857577775013
8.075556202710466,6.513675328427217,0.4512713991352367,7.693592427007139,3.9246251907702767,3.5155161154240875,1.1285082086196925,0.76680913894656,9.008530640468992,0.3370252417718988
4.368174653757748,5.059973666143699,3.177572729326963,1.852515177236371,8.510368807494356,2.526444178369548,7.02654310366849,2.436291636654315,1.3282121172231138,0.7151766658410267
2.8823903975611955,2.497586454618652,8.703772960162066,4.451308808582939,8.005243641728171,0.3468941333808072,3.1674305758355885,5.20000680308456,4.356367668834023,0.43924111767880214
8.673304463865705,8.03752858084431,8.244426503669528,1.3682667414363676,5.795035023390196,6.17148714514145,1.6418811876966273,6.516229188092037,5.341513435399237,0.6175965193856795
3.9851392323705976,8.83915915796937,7.336071647530889,4.001649052464437,1.1087576008688391,1.6879986480535485,7.338756427480592,4.941223116788185,4.5414327693425,0.48092219102973693
0.4690685717019005,9.126058233312897,8.114241845680041,4.555429529536807,8.688282702430836,4.043238019675487,8.530140469904612,9.650605879347548,0.3033110396020002,0.3282271665340222
6.150186651659986,3.4175118959874875,9.976417264604184,7.490248876452109,4.298941467459546,7.206041917561597,5.062743933375669,0.5724805544497987,6.6394276837578,0.5423166020153433
7.444564843826269,9.030930453769972,3.832480658034549,5.882790139603018,5.396628738336315,2.243094286653342,9.219818237616218,9.042016368107646,2.545486159179907,0.5611803029657361
7.906770746409131,4.6530461297040615,9.674889372821683,7.823455043496819,1.6249910655142927,9.603554152833794,5.331579392882139,7.178202939791111,1.7270834432199609,0.5256655892774944
3.234522223203211,7.120320201357773,2.531344292996656,6.551713207958191,8.237566279150622,7.576070620036566,5.001376582287125,6.9866323077333625,7.407358880695082,0.6643972722852648
5.18152032501623,7.056943087183309,4.36697136269737,6.259919778622843,5.532839031765585,3.2204534813788683,9.38903537204473,9.712710520724256,3.505103361771357,0.4545398329359417
0.9982268630601684,4.75241173119362,4.322799942032918,7.233302579641309,9.249323598386216,8.946819294941147,4.137349772612169,2.296925332470638,7.038812531839111,0.5804374089226354
4.96166743656327,0.91010939891839,5.110699127846034,6.885367405519629,6.435373185270098,4.442036350830677,6.65710237929099,3.8413101885388574,2.072988718367976,0.5632456470934781
7.638533131886748,8.77184682401326,2.0220229994927994,7.027988934235273,5.156715163124709,8.675837461558137,6.162299480990102,6.652741168425486,2.710258016958268,0.5429935016773555
1.1069075970402844,8.524142833613547,7.93976969928239,9.798944544880626,9.74750280701791,2.9550647376708645,9.000097226475033,2.698095684889339,2.1136080229822505,0.550613425768489
3.783039357995084,8.251774345911551,0.1910427136104092,4.329138868204785,2.9954152900995075,5.155019690987591,6.844299863253686,5.5244607595088375,3.9488130571338784,0.508341579396731
4.283208525808444,4.329261265440317,7.579352477570618,5.691927855275176,3.279071119481708,0.5205761867354416,5.931872286072818,3.717944578121362,4.302645621058174,0.5513973788428148
8.36344088883693,2.3545353293470592,5.888067559805693,3.0064792491297987,3.259574310179992,4.318702678182409,5.851863764849376,5.824321857031267,7.4302982011496,0.693103377385648
5.155815333053736,3.708091218144701,4.030672208636425,5.757297882301504,3.666966088069424,9.907305244935472,8.909969999731278,7.414019535144551,3.623690881002642,0.7004182273547933
0.7679430271368034,3.8723628588274,6.159310576098887,8.5485892221098,3.121555735734522,0.6174644270417546,3.026602008014397,8.037577306156388,6.373788126967217,0.3212451539535224
9.578604510618302,4.391831357694794,3.949722867649635,4.086771899176883,5.493640868987541,7.01554406586882,0.9185158280965722,0.9190410210038584,0.906354044976756,0.41087500175760844
2.7162121764691936,2.997611777884972,6.861447986895739,3.5291562414829736,3.806797820055439,1.1241201546163724,2.551185388854336,0.2085131910021425,1.5466232125358166,0.6448397053083346
6.246649382582168,8.142272333004025,9.249559229719956,3.381196240854672,0.1414737221425915,9.416973559362384,7.203455049881107,0.955878138094113,9.626728905432024,0.35401937537050865
4.867638145851466,3.105255840906218,1.7529054371902857,3.22693917869669,6.577613530336353,8.508510399375782,3.970280369697943,9.420808327364677,3.086477408525574,0.6233763030156686
7.330575992373556,5.738087049824318,0.8397170661967738,0.4487960129399228,6.382438880764294,5.779044377032427,7.825645136650227,4.215261725126196,3.2236938330838263,0.44610279005099934
5.571979431233606,6.475339290504734,9.637470378737266,6.09797536186948,2.5625744765908047,5.212684633141308,3.915762146354654,4.136496398772442,7.824453904504442,0.6099867866383469
9.870208231620538,3.58947530084331,2.10245608771472,5.200942013447927,2.401496530102031,2.79989275753275,2.7238689921358348,3.492224613718396,1.7673164613085772,0.5782579057900087
