name,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9,member_10,member_11,member_12,member_13,member_14,member_15,member_16,member_17,member_18,member_19,member_20,member_21,member_22,member_23,member_24,member_25,member_26,member_27,member_28,member_29,member_30,member_31,member_32,member_33,member_34,member_35,member_36,member_37,member_38,member_39,member_40,member_41,member_42,member_43,member_44,member_45,member_46,member_47,member_48,member_49,member_50
bin_wk3,0.2059762887966849,0.13595497503221904,0.3913037371170894,0.3536650854263695,0.4515412363659984,0.27167927547470166,0.16187114585931797,0.5930452618656494,0.5153284037943452,0.15805894351857028,0.04230755426440571,0.49147535956727095,0.26299920802961724,0.40405306728522816,0.5070599542605141,0.5710899265832198,0.28755579792337055,0.14923852309712166,0.22562656321948277,0.3936249441522011,0.28003473364823483,0.3105997461641105,0.37039263595220695,0.2500863730953981,0.29594861066783207,0.47203397710585376,0.3875968203842654,0.5103326426679742,0.3640216343965182,0.24136145064076556,0.41720221593948786,0.5719549219152709,0.3881597510392584,0.07899010957097095,0.44482061860494365,0.5241218301392944,0.11158814085842814,0.15760816254422755,0.6625254172227056,0.09712178308080782,0.07043226357674304,0.28881703391570457,0.41003053808813594,0.296156613324587,0.30291164370595625,0.3185555649626041,0.559381586684663,0.334452591015114,0.5692198843409256,0.6732745299983803
bin_wk3b,0.7270552403758376,0.689176481570391,0.45818220328745435,0.6179340409882071,0.6520868639360421,0.5632606739353622,0.5166207630152458,0.7458602181343964,0.8170658217009419,0.20530199162224894,0.37742538299331707,0.7355045995198307,0.7309792421930353,0.4892095728150986,0.5989722140206486,0.6883363311221253,0.3540724790329594,0.5054413117508181,0.551059306936111,0.23419843164414722,0.7461834470293232,0.6966439623915145,0.7128931850306012,0.5933363527291676,0.6948557747124388,0.6687693288521303,0.5141726061108407,0.6413741163869441,0.9051712739386839,0.4050799402495952,0.7378738396364086,0.8006312333813818,0.4888348266532802,0.8940033393570981,0.49243703740174694,0.41371429984656116,0.47793400314770845,0.8799291470706703,0.672584912288653,0.5961077771838191,0.44458024634556437,0.38479885416527126,0.9138014406227407,0.4708675959212228,0.4742430434697152,0.6402941659075825,0.4652863664076599,0.7896318853020247,0.9931044720286588,0.4956015908747645
bin_wketa,0.28570535926266005,0.4828067337974512,0.27882805194779375,0.27769376776562504,0.5061516347728021,0.49091632339588587,0.17271795157757183,0.1901321265964449,0.12107003136849114,0.3663639801459462,0.7916424893442217,0.28018498480532117,0.08464705795060115,0.5650526008760555,0.3618531875102855,0.010491840162316537,0.9501976462342818,0.7895806284277636,0.772903685260956,0.5265561200739475,0.001825790704536777,0.27512659508606174,0.07051470822328285,0.13528935402680956,0.2387227094746994,0.659282219350509,0.5697111499297052,0.6217181769052382,0.28293142752921263,0.43251842885190106,0.20547415158644997,0.03139432202247565,0.275790857324119,0.11011279187821105,0.5293146550692571,0.6341825336531157,0.5695299078622535,0.29961060451224225,0.08467312728869346,0.6290241738689112,0.468718013588901,0.33400629005646015,0.5211426579031956,0.364162607606835,0.6583808172517299,0.5402089148904854,0.5856979081419358,0.09733301335836463,0.03593568557839761,0.7267181709895414
cf,9.33630179027767e-11,9.299646280573349e-11,9.384327558508178e-11,9.419374612457294e-11,9.195430812740315e-11,9.370744289076074e-11,9.323963877683728e-11,9.286749866310847e-11,9.337901135191007e-11,9.425352065623386e-11,9.473336082137491e-11,9.322484153358419e-11,9.246289650595615e-11,9.615146849304263e-11,9.4094666872211e-11,9.312920949720129e-11,9.268894002394864e-11,9.351445369395118e-11,9.495105917084179e-11,9.407237488920137e-11,9.403722954870828e-11,9.395655479495733e-11,9.32604440153206e-11,9.370860419915069e-11,9.239352774608507e-11,9.452847391151164e-11,9.230786870306613e-11,9.247898707906175e-11,9.300186231689765e-11,9.33948830159783e-11,9.272843862557207e-11,9.432663074393629e-11,9.313105495433087e-11,9.381811224906286e-11,9.289943372359104e-11,9.299287071606263e-11,9.458248765408023e-11,9.208737198109265e-11,9.240353462436061e-11,9.340701722726916e-11,9.366672480437214e-11,9.294808606203033e-11,9.25687990051841e-11,9.371629395471741e-11,9.305196861411134e-11,9.327976198312953e-11,9.363075562698576e-11,9.265347266723326e-11,9.493755146118219e-11,9.345819849666482e-11
cgdl,9.990666395083624e-11,1.0025018170222385e-10,9.966192405138376e-11,9.9901159567481e-11,9.931135843620801e-11,1.0014688740771743e-10,9.833367788517352e-11,1.0037704166973451e-10,1.0031934856138858e-10,9.817597676817262e-11,9.829861138064815e-11,9.946190446393169e-11,9.963939908326032e-11,9.830509079209323e-11,9.902746308027189e-11,1.0087353347602196e-10,9.818702712214924e-11,9.908340470555903e-11,9.898082129881077e-11,9.877934803489282e-11,9.99341450029602e-11,9.928508397897473e-11,1.0008985968317473e-10,9.962861501468303e-11,1.003169390121933e-10,9.959320619059897e-11,9.895405126428556e-11,9.927748443747627e-11,1.0000032815122615e-10,9.934869477164955e-11,9.98167938509613e-11,1.0014451259396105e-10,9.904265511982544e-11,9.984005458517725e-11,1.0025971787895731e-10,9.956257597145164e-11,9.961570035464447e-11,9.992970639575133e-11,1.0004030283037206e-10,9.926697125895995e-11,9.856954811968273e-11,9.888934028976292e-11,9.90229006674359e-11,9.815249260211761e-11,9.90079213293108e-11,9.951368510491277e-11,9.944344857820192e-11,1.0009679710911143e-10,1.0066943943727945e-10,9.906373109086621e-11
cgdo,1.0715748278648607e-10,1.0751729429226581e-10,1.0639798317297732e-10,1.0605657999285869e-10,1.087896913212251e-10,1.0661684903502047e-10,1.0797639094249881e-10,1.0700531968056784e-10,1.0662357503282905e-10,1.0672955189144368e-10,1.063458769362308e-10,1.0700435376750153e-10,1.0777459354637544e-10,1.0394606483088345e-10,1.0619990940973902e-10,1.0651743390703198e-10,1.0864702971893072e-10,1.0708394643785313e-10,1.0508715176141108e-10,1.0648182547603009e-10,1.0595619641004044e-10,1.0708194811153677e-10,1.0708699428970317e-10,1.0651842733736537e-10,1.0782572192477434e-10,1.056347900147719e-10,1.0868473287008139e-10,1.0802819995876337e-10,1.0645591853625395e-10,1.0685430524260157e-10,1.0772021014785438e-10,1.054947837830823e-10,1.0756506744497661e-10,1.0609459521942571e-10,1.0720948301898227e-10,1.0747106558925837e-10,1.0578494194716738e-10,1.0827376836898048e-10,1.0777064463400927e-10,1.075099660130167e-10,1.0731366088729888e-10,1.0730279007355267e-10,1.0774830800672747e-10,1.0697407322326742e-10,1.0798100873768918e-10,1.0718689672612767e-10,1.0708062845367386e-10,1.0700867145049139e-10,1.0520721125082686e-10,1.0697683239306447e-10
ckappas,1.4174646311460088,1.6753349876155186,1.4791870392393296,1.401202962100845,1.8387518252676487,1.4865869962530616,1.459202666458147,1.7994363961761497,1.5146480022352453,1.4288436799779969,1.3828630975495642,1.610563052455764,1.865890215108872,1.0434224328429411,1.523099063804295,1.585024161481376,1.63503573449418,1.557166483646697,1.3021043287669085,1.4918200471238037,1.298978726638818,1.155099936304373,1.5992757534360604,1.4931773191153925,1.7862757416919322,1.3555289753787894,1.6901792570983025,1.8234686137254559,2.05811295490462,1.6945442291076245,1.5848897926884573,1.3857616365379137,1.6345198912225536,1.516735123177147,1.8504948197975468,1.7545532307360683,1.161745567220414,2.0858391500376823,1.7596834156288497,1.5061741667394755,1.2918414823071571,1.8253604307498899,1.6306437091890602,1.3713230074909213,1.4782909488959273,1.6858565224849427,1.2924499579429094,1.8973145966988056,1.1074479803049235,1.5712673546356621
clc,1.930326185626861e-07,2.180958276209974e-07,1.658924778066944e-07,2.0559032030879907e-07,1.581921540553058e-07,1.9724912295245736e-07,1.79590116863951e-07,1.7557101888511808e-07,1.955078551215354e-07,1.9720613997151635e-07,2.309933912996581e-07,1.497941996917285e-07,1.0972787177081934e-07,2.1895271138735362e-07,2.0381247344349033e-07,1.946190235364436e-07,1.7971131982729904e-07,1.2451899498492137e-07,1.4768099045286656e-07,1.4604603091989847e-07,1.868267852192771e-07,1.80089649303542e-07,1.58067242743586e-07,1.4283220574961666e-07,1.4542907420409055e-07,2.161647905443035e-07,1.704372567857246e-07,1.8051400419121836e-07,1.416401517473135e-07,1.8109047515382117e-07,1.9078570196607207e-07,2.022756957038579e-07,2.1453761957641866e-07,1.910930041875682e-07,1.7490130709819728e-07,1.485388604829966e-07,2.348033548557687e-07,1.3261658729266525e-07,1.2532584025676392e-07,2.1547228204650608e-07,1.7944625673617683e-07,1.6767104373726525e-07,1.2892869395576988e-07,1.5409226431593406e-07,1.8806433679164666e-07,2.0547632223315435e-07,2.3120821359197666e-07,1.324086616932626e-07,2.3386306759295937e-07,1.7753943360140263e-07
cle,0.4814674888329489,0.31519789769009776,0.8523271181414627,0.6483309732887164,0.23340148541420888,0.6761606393442612,0.6693560322646782,0.30459675332315844,0.5254593934058123,0.8588325590714003,0.5883532965861898,0.6079504228691244,0.27715022142873114,0.7412867514915165,0.989578593428406,0.2955780386827569,0.9742147288701146,0.678721536340473,0.7181249793638227,0.7096065346862219,0.6835112854923326,0.5755219600149801,0.7144012241292876,0.6185735240904087,0.3770622235399752,0.9384008547645086,0.575710246914034,0.528064894483512,0.4547361104318189,0.5479425341850541,0.6220102781480528,0.7666022832593464,0.9363971788544423,0.5651469785980279,0.3850572349090435,0.6000729030552541,0.7388560987805148,0.49861022495339785,0.6390257618828953,0.6062037539230221,0.7762879799007811,0.6612748774304277,0.4983748467628152,0.8109542144218393,0.8836074267147265,0.5909875054303972,0.7066182251608215,0.7041080177317005,0.7873398657989836,0.6758908920013578
dlc,-8.364328717359648e-08,-7.970878390283952e-08,-9.127983458003334e-08,-7.559071903920793e-08,-8.042763810285744e-08,-8.783344602393699e-08,-6.960458518527806e-08,-9.363347860768427e-08,-9.329950987007426e-08,-8.150091996221157e-08,-8.690173814968452e-08,-8.807343524563766e-08,-8.13827024387783e-08,-8.56571323133494e-08,-9.952468041273371e-08,-8.061663464458474e-08,-8.533081455419265e-08,-7.821860806013092e-08,-9.723037116811623e-08,-7.799821174853964e-08,-9.684928723982791e-08,-7.909499942451144e-08,-7.627557462648773e-08,-8.575971708076161e-08,-8.614094952911825e-08,-9.763847485904565e-08,-8.444182309240295e-08,-9.324418557903182e-08,-8.355741119085711e-08,-6.457300835258012e-08,-8.047168907353284e-08,-9.427998023437496e-08,-9.543399743502288e-08,-8.568171413929456e-08,-9.158078994750495e-08,-8.212509909062616e-08,-7.912616561352155e-08,-9.006578068921474e-08,-8.451147989880022e-08,-7.378396349828159e-08,-8.533147587305596e-08,-6.16288728412422e-08,-7.447956547167548e-08,-8.577866995393222e-08,-8.413231185415978e-08,-8.725817963845483e-08,-8.955202700973609e-08,-8.036169532470449e-08,-9.765652308633979e-08,-8.922749101762197e-08
